CRIM,ZN,INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,B,LSTAT,month
0.00632,18.0,2.31,0.538,6.575,65.2,4.09,296.0,15.3,396.9,4.98,2024-01-01
0.02731,0.0,7.07,0.469,6.421,78.9,4.9671,242.0,17.8,396.9,9.14,2024-01-01
0.02729,0.0,7.07,0.469,7.185,61.1,4.9671,242.0,17.8,392.83,4.03,2024-01-01
0.03237,0.0,2.18,0.458,6.998,45.8,6.0622,222.0,18.7,394.63,2.94,2024-01-01
0.06905,0.0,2.18,0.458,7.147,54.2,6.0622,222.0,18.7,396.9,5.33,2024-01-01
0.02985,0.0,2.18,0.458,6.43,58.7,6.0622,222.0,18.7,394.12,5.21,2024-01-01
0.08829,12.5,7.87,0.524,6.012,66.6,5.5605,311.0,15.2,395.6,12.43,2024-01-01
0.14455,12.5,7.87,0.524,6.172,96.1,5.9505,311.0,15.2,396.9,19.15,2024-01-01
0.21124,12.5,7.87,0.524,5.631,100.0,6.0821,311.0,15.2,386.63,29.93,2024-01-01
0.17004,12.5,7.87,0.524,6.004,85.9,6.5921,311.0,15.2,386.71,17.1,2024-01-01
0.22489,12.5,7.87,0.524,6.377,94.3,6.3467,311.0,15.2,392.52,20.45,2024-01-01
0.11747,12.5,7.87,0.524,6.009,82.9,6.2267,311.0,15.2,396.9,13.27,2024-01-01
0.09378,12.5,7.87,0.524,5.889,39.0,5.4509,311.0,15.2,390.5,15.71,2024-01-01
0.62976,0.0,8.14,0.538,5.949,61.8,4.7075,307.0,21.0,396.9,8.26,2024-01-01
0.63796,0.0,8.14,0.538,6.096,84.5,4.4619,307.0,21.0,380.02,10.26,2024-01-01
0.62739,0.0,8.14,0.538,5.834,56.5,4.4986,307.0,21.0,395.62,8.47,2024-01-01
1.05393,0.0,8.14,0.538,5.935,29.3,4.4986,307.0,21.0,386.85,6.58,2024-01-01
0.7842,0.0,8.14,0.538,5.99,81.7,4.2579,307.0,21.0,386.75,14.67,2024-01-01
0.80271,0.0,8.14,0.538,5.456,36.6,3.7965,307.0,21.0,288.99,11.69,2024-01-01
0.7258,0.0,8.14,0.538,5.727,69.5,3.7965,307.0,21.0,390.95,11.28,2024-01-01
1.25179,0.0,8.14,0.538,5.57,98.1,3.7979,307.0,21.0,376.57,21.02,2024-01-01
0.85204,0.0,8.14,0.538,5.965,89.2,4.0123,307.0,21.0,392.53,13.83,2024-01-01
1.23247,0.0,8.14,0.538,6.142,91.7,3.9769,307.0,21.0,396.9,18.72,2024-01-01
0.98843,0.0,8.14,0.538,5.813,100.0,4.0952,307.0,21.0,394.54,19.88,2024-01-01
0.75026,0.0,8.14,0.538,5.924,94.1,4.3996,307.0,21.0,394.33,16.3,2024-01-01
0.84054,0.0,8.14,0.538,5.599,85.7,4.4546,307.0,21.0,303.42,16.51,2024-01-01
0.67191,0.0,8.14,0.538,5.813,90.3,4.682,307.0,21.0,376.88,14.81,2024-01-01
0.95577,0.0,8.14,0.538,6.047,88.8,4.4534,307.0,21.0,306.38,17.28,2024-01-01
0.77299,0.0,8.14,0.538,6.495,94.4,4.4547,307.0,21.0,387.94,12.8,2024-01-01
1.00245,0.0,8.14,0.538,6.674,87.3,4.239,307.0,21.0,380.23,11.98,2024-01-01
1.13081,0.0,8.14,0.538,5.713,94.1,4.233,307.0,21.0,360.17,22.6,2024-01-01
1.35472,0.0,8.14,0.538,6.072,100.0,4.175,307.0,21.0,376.73,13.04,2024-01-01
1.38799,0.0,8.14,0.538,5.95,82.0,3.99,307.0,21.0,232.6,27.71,2024-01-01
1.15172,0.0,8.14,0.538,5.701,95.0,3.7872,307.0,21.0,358.77,18.35,2024-01-01
1.61282,0.0,8.14,0.538,6.096,96.9,3.7598,307.0,21.0,248.31,20.34,2024-01-01
0.06417,0.0,5.96,0.499,5.933,68.2,3.3603,279.0,19.2,396.9,9.68,2024-01-01
0.09744,0.0,5.96,0.499,5.841,61.4,3.3779,279.0,19.2,377.56,11.41,2024-01-01
0.08014,0.0,5.96,0.499,5.85,41.5,3.9342,279.0,19.2,396.9,8.77,2024-01-01
0.17505,0.0,5.96,0.499,5.966,30.2,3.8473,279.0,19.2,393.43,10.13,2024-01-01
0.02763,75.0,2.95,0.428,6.595,21.8,5.4011,252.0,18.3,395.63,4.32,2024-01-01
0.03359,75.0,2.95,0.428,7.024,15.8,5.4011,252.0,18.3,395.62,1.98,2024-01-01
0.12744,0.0,6.91,0.448,6.77,2.9,5.7209,233.0,17.9,385.41,4.84,2024-01-01
0.1415,0.0,6.91,0.448,6.169,6.6,5.7209,233.0,17.9,383.37,5.81,2024-01-01
0.15936,0.0,6.91,0.448,6.211,6.5,5.7209,233.0,17.9,394.46,7.44,2024-01-01
0.12269,0.0,6.91,0.448,6.069,40.0,5.7209,233.0,17.9,389.39,9.55,2024-01-01
0.17142,0.0,6.91,0.448,5.682,33.8,5.1004,233.0,17.9,396.9,10.21,2024-01-01
0.18836,0.0,6.91,0.448,5.786,33.3,5.1004,233.0,17.9,396.9,14.15,2024-01-01
0.22927,0.0,6.91,0.448,6.03,85.5,5.6894,233.0,17.9,392.74,18.8,2024-01-01
0.25387,0.0,6.91,0.448,5.399,95.3,5.87,233.0,17.9,396.9,30.81,2024-01-01
0.21977,0.0,6.91,0.448,5.602,62.0,6.0877,233.0,17.9,396.9,16.2,2024-01-01
0.08873,21.0,5.64,0.439,5.963,45.7,6.8147,243.0,16.8,395.56,13.45,2024-01-01
0.04337,21.0,5.64,0.439,6.115,63.0,6.8147,243.0,16.8,393.97,9.43,2024-01-01
0.0536,21.0,5.64,0.439,6.511,21.1,6.8147,243.0,16.8,396.9,5.28,2024-01-01
0.04981,21.0,5.64,0.439,5.998,21.4,6.8147,243.0,16.8,396.9,8.43,2024-01-01
0.0136,75.0,4.0,0.41,5.888,47.6,7.3197,469.0,21.1,396.9,14.8,2024-01-01
0.01311,90.0,1.22,0.403,7.249,21.9,8.6966,226.0,17.9,395.93,4.81,2024-01-01
0.02055,85.0,0.74,0.41,6.383,35.7,9.1876,313.0,17.3,396.9,5.77,2024-01-01
0.01432,100.0,1.32,0.411,6.816,40.5,8.3248,256.0,15.1,392.9,3.95,2024-01-01
0.15445,25.0,5.13,0.453,6.145,29.2,7.8148,284.0,19.7,390.68,6.86,2024-01-01
